DISTRICT_CODE,DISTRICT_NAME,PARISH_CODE,PARISH_NAME,PS_CODE,PS_NAME,Reg. Voters,AMURIAT,KABULETA,KALEMBE ,KATUMBA ,KYAGULANYI ,KYAGULANYI %,KYAGULANYI %,MAO ,MAYAMBA ,MUGISHA ,MWESIGYE ,TUMUKUNDE,YOWERI,YOWERI%,YOWERI%,VALID,INVALID,TOTAL,VOTER TURNOUT
62,ISINGIRO,42,KISHUNJU WARD,1,BUGANGO CATHOLIC CHURCH I,841,0,0,0,0,0,0,0,0,0,0,0,0,841,100,100,841,0,841,100
65,KIRUHURA,23,RWABARATA,1,RWEMIKUNYU PRI SCH,826,0,0,0,0,0,0,0,0,0,0,0,0,826,100,100,826,0,826,100
65,KIRUHURA,18,EMBARE,7,KYEIBUZA PRI SCH,801,0,0,0,0,0,0,0,0,0,0,0,0,801,100,100,801,0,801,100
131,KAZO,44,RWEMIRONDO WARD,1,RWEMIRONDO PRI SCH,799,0,0,0,0,0,0,0,0,0,0,0,0,799,100,100,799,0,799,100
62,ISINGIRO,18,NYAMARUNGI,2,NYAMARUNGI PRI SCH,797,0,0,0,0,0,0,0,0,0,0,0,0,789,100,100,789,8,797,100
131,KAZO,7,MAGONDO,1,MAGONDO PRI SCH,783,0,0,0,0,0,0,0,0,0,0,0,0,783,100,100,783,0,783,100
62,ISINGIRO,4,MUREMA WARD,2,MUREMA HEALTH CENTRE,761,0,0,0,0,0,0,0,0,0,0,0,0,759,100,100,759,2,761,100
131,KAZO,9,KIGUMA,3,NYAKATANDURA C.O.U COMPOUND,753,0,0,0,0,0,0,0,0,0,0,0,0,749,100,100,749,4,753,100
62,ISINGIRO,39,RURONGO,1,RURONGO C.O.U,745,0,0,0,0,0,0,0,0,0,0,0,0,745,100,100,745,0,745,100
131,KAZO,4,MIGINA,4,MIGINA PRI SCH,729,0,0,0,0,0,0,0,0,0,0,0,0,728,100,100,728,1,729,100
65,KIRUHURA,10,KAITANTUREGYE,1,KAITANTUREGYE PRI SCH,691,0,0,0,0,0,0,0,0,0,0,0,0,688,100,100,688,3,691,100
131,KAZO,9,KIGUMA,1,KIGUMA PRI SCH I,691,0,0,0,0,0,0,0,0,0,0,0,0,691,100,100,691,0,691,100
65,KIRUHURA,20,KAYONZA,9,RUGAGA KYENSHAMA JUNCTION A,689,0,0,0,0,0,0,0,0,0,0,0,0,688,100,100,688,1,689,100
34,NTUNGAMO,49,KANYERERE,1,KANYERERE PRI SCH,675,0,0,0,0,0,0,0,0,0,0,0,0,675,100,100,675,0,675,100
131,KAZO,28,BUGARIHE,4,RWAKAKUNGU TRADING CENTRE,673,0,0,0,0,0,0,0,0,0,0,0,0,661,100,100,661,12,673,100
62,ISINGIRO,29,KASHARIRA WARD,2,KABURA PRI SCH,671,0,0,0,0,0,0,0,0,0,0,0,0,668,100,100,668,3,671,100
34,NTUNGAMO,28,NGOMBA WARD,4,RUZINGA,654,0,0,0,0,0,0,0,0,0,0,0,0,653,100,100,653,1,654,100
65,KIRUHURA,4,AKABAARE,2,RUTAREMWA PRI SCH,653,0,0,0,0,0,0,0,0,0,0,0,0,653,100,100,653,0,653,100
131,KAZO,46,BISHOZI,2,BISHOZI C.O.U PRI SCH,644,0,0,0,0,0,0,0,0,0,0,0,0,642,100,100,642,2,644,100
131,KAZO,9,KIGUMA,2,KISHEBASHEBE BOREHOLE,641,0,0,0,0,0,0,0,0,0,0,0,0,640,100,100,640,1,641,100
45,SSEMBABULE,19,KAIRASYA,2,KAIRASYA,639,0,0,0,0,0,0,0,0,0,0,0,0,636,100,100,636,3,639,100
45,SSEMBABULE,13,KABAAREKEERA,1,KABAREKERA,638,0,0,0,0,0,0,0,0,0,0,0,0,626,100,100,626,12,638,100
65,KIRUHURA,24,KANYARYERU RES SCH,3,KANYARYERU SUB COUNTY HQTRS,635,0,0,0,0,0,0,0,0,0,0,0,0,635,100,100,635,0,635,100
131,KAZO,14,RWIGI,1,RWIIGI PRI SCH,631,0,0,0,0,0,0,0,0,0,0,0,0,630,100,100,630,1,631,100
65,KIRUHURA,12,MACUNCU,2,RWOBUSISI PRI SCH,627,0,0,0,0,0,0,0,0,0,0,0,0,627,100,100,627,0,627,100
65,KIRUHURA,12,MACUNCU,5,RWOMUGINA PRI SCH,620,0,0,0,0,0,0,0,0,0,0,0,0,620,100,100,620,0,620,100
62,ISINGIRO,19,NYAKAKONI,1,NYAKAKONI PRI SCH,604,0,0,0,0,0,0,0,0,0,0,0,0,604,100,100,604,0,604,100
62,ISINGIRO,2,KIGARAGARA,4,KASHESHE CATHOLIC CHURCH I,603,0,0,0,0,0,0,0,0,0,0,0,0,603,100,100,603,0,603,100
65,KIRUHURA,20,KAYONZA,10,RUGAGA KYENSHAMA JUNCTION B,602,0,0,0,0,0,0,0,0,0,0,0,0,602,100,100,602,0,602,100
65,KIRUHURA,38,NYANKUMBA,6,NYANKUMBA C.O.U,601,0,0,0,0,0,0,0,0,0,0,0,0,601,100,100,601,0,601,100
62,ISINGIRO,4,MUREMA WARD,3,KITEREDE PRI SCH,598,0,0,0,0,0,0,0,0,0,0,0,0,598,100,100,598,0,598,100
62,ISINGIRO,13,RUSHASHA,2,KARUNGA CATHOLIC CHURCH,591,0,0,0,0,0,0,0,0,0,0,0,0,591,100,100,591,0,591,100
27,MBARARA,6,RUGARURA WARD,1,AKARAMBIKIRIZO TRADING CENTRE,590,0,0,0,0,0,0,0,0,0,0,0,0,590,100,100,590,0,590,100
62,ISINGIRO,24,NSHENYI,3,NYABUGANDO TRADING CENTRE,588,0,0,0,0,0,0,0,0,0,0,0,0,588,100,100,588,0,588,100
65,KIRUHURA,20,KAYONZA,11,RUGAGA TRADING CENTRE,587,0,0,0,0,0,0,0,0,0,0,0,0,587,100,100,587,0,587,100
34,NTUNGAMO,24,RUSHEBEYA WARD,1,RWEIKINIRO HEALTH CENTRE III,584,0,0,0,0,0,0,0,0,0,0,0,0,584,100,100,584,0,584,100
65,KIRUHURA,17,RURAMBIRA,1,RURAMBIRA PRI SCH,580,0,0,0,0,0,0,0,0,0,0,0,0,575,100,100,575,5,580,100
65,KIRUHURA,22,NOMBE II,5,KIGARAMA PRI SCH,577,0,0,0,0,0,0,0,0,0,0,0,0,577,100,100,577,0,577,100
